Name,State,Funding,Apps,Accepted,Enrolled,Top10,FTUG,Tuition,RmBrd,PhD,SFRatio,Alumni,Spending,Gradrate,StdScore
Alaska Pacific University,AK,Private,193,146,55,16,249,7560,4120,76,11.9,2,10922,15,-0.394683191
Alabama Agri. & Mech. Univ.,AL,Public,2817,1920,984,,3958,3400,2550,53,14.3,,7043,40,-1.984747569
Faulkner University,AL,Private,345,320,179,,1367,5600,3250,52,32.8,,3971,55,-0.821911329
University of Montevallo,AL,Public,1351,892,570,18,2385,4440,3030,72,18.9,8,5883,51,-0.434299249
Auburn University-Main Campus,AL,Public,7548,6791,3070,25,16262,6300,3933,85,16.7,18,6642,69,0.801329567
Birmingham-Southern College,AL,Private,805,588,287,67,1376,11660,4325,74,14,34,8649,72,1.286046708
Huntingdon College,AL,Private,608,520,127,26,538,8080,3920,63,11.4,9,7703,44,0.134136354
Jacksonville State University,AL,Public,1627,1413,887,,5160,2610,2600,66,20.1,6,4604,33,-0.821911329
Judson College,AL,Private,313,228,137,10,552,5780,3600,70,17.9,27,5159,43,-0.046687169
Livingston University,AL,Public,1206,957,444,,1627,1740,2449,58,18.8,4,4272,36,-1.209523409
University of Mobile,AL,Private,452,331,269,17,1417,6150,3680,59,16.6,4,5412,52,-0.046687169
Spring Hill College,AL,Private,773,694,230,,942,11478,4788,80,14.4,23,8594,70,0.453369764
Troy State University at Troy,AL,Public,1471,1281,824,18,4343,2883,2570,50,23,,4295,48,-0.362314838
University of Alabama at Tuscaloosa,AL,Public,7593,5972,2682,,13780,5424,3530,80,17.3,29,6426,50,0.340924911
University of Alabama at Birmingham,AL,Public,1797,1260,938,24,6960,4440,5175,96,6.7,16,16352,33,-0.434299249
University of Alabama at Huntsville,AL,Public,1376,957,445,,2727,4960,3500,83,12.7,12,8863,38,0.534290649
University of South Alabama,AL,Public,2328,2110,1047,,7516,3108,2850,80,13.3,,8667,43,0.340924911
Auburn University at Montgomery,AL,Public,985,868,645,,3477,5715,4430,74,18.1,,4792,42,-0.434299249
Arkansas College (Lyon College),AR,Private,708,334,166,46,530,8644,3922,79,12.6,24,14579,54,1.11614907
Arkansas Tech University,AR,Public,1734,1729,951,12,3602,3460,2650,57,19.6,5,4739,48,-0.434299249
Arkansas State University,AR,Public,2688,2633,1488,,7212,3720,2580,71,20,9,5128,39,-0.434299249
University of Central Arkansas,AR,Public,3131,2703,1792,,7402,3274,2600,71,20.5,10,4252,36,-0.046687169
Hendrix College,AR,Private,823,721,274,52,954,8800,3195,82,13.1,26,8588,63,1.241540222
John Brown University,AR,Private,605,405,284,24,961,6398,3672,68,13.3,19,8118,75,0.271701857
University of Arkansas at Little Rock,AR,Public,1766,1322,1194,,5753,5352,2435,61,14.7,4,4724,19,-1.209523409
Harding University,AR,Private,1721,1068,806,35,3128,5504,3528,71,17.7,37,6466,73,0.574751091
Grand Canyon University,AZ,Private,497,393,169,,1364,6870,3100,56,14.2,,6219,81,-0.193189146
Arizona State University Main campus,AZ,Public,12809,10308,3761,24,22593,7434,4850,88,18.9,5,4602,48,0.194827017
Northern Arizona University,AZ,Public,5891,4931,1973,23,11249,6746,3728,78,21.7,7,6157,41,-0.140590571
University of Arizona,AZ,Public,14079,12238,4529,29,21664,7434,4216,91,19.6,,9683,49,0.231241415
Biola University,CA,Private,1118,896,459,,2058,11388,4546,67,16.6,15,9329,36,-0.136544527
California Baptist College,CA,Private,308,262,157,,592,6370,3894,56,13,,8554,43,-1.138751245
California Institute of Technology,CA,Private,1916,507,210,98,912,16695,5051,100,6.5,36,62469,83,3.576879683
California Lutheran University,CA,Private,563,247,247,23,1427,12950,5300,72,12.4,17,8985,60,-0.366764965
California State Univ. at Fullerton,CA,Public,6004,4480,1470,,12147,8990,3476,88,19.9,,6288,56,-0.609527618
California State Univ. at Long Beach,CA,Public,10278,7746,2576,,,8233,4400,80,20.3,,5382,48,-0.743047077
California State Univ. at San Bernardino,CA,Public,2329,1619,1521,,6609,,,93,20.3,,6654,49,-1.043702816
California Polytechnic-San Luis,CA,Public,7811,3817,1650,47,12911,7380,4877,72,19.8,13,8453,59,-0.079495825
California State University at Chico,CA,Public,4816,3922,1278,,11822,5904,5050,,18.9,5,7798,63,-0.49623838
Humboldt State University,CA,Public,3467,2190,565,,5637,9979,4200,80,16.4,4,8650,65,-0.071807819
California State University at Sacramento,CA,Public,4348,3026,1234,,13724,9096,4500,79,19.2,3,7530,47,-0.679558837
San Diego State University,CA,Public,9402,7020,2151,20,16407,8384,5110,87,19.5,7,7930,41,-0.884254542
California State University at Northridge,CA,Public,7672,5331,2157,,15567,5904,5500,,20.3,,6691,43,-1.247994439
San Francisco State University,CA,Public,5385,3539,1259,,13165,8964,6776,75,17.4,1,7651,55,-1.21967213
San Jose State University,CA,Public,5210,4094,1420,,14392,8820,4224,72,17.4,6,5957,46,-1.130659157
